School_Name,Address,City,State,Zip,Phone,Latitude,Longitude,Website,Religious_Affiliation,School_Type,District_Name
JOHN HOPKINS MIDDLE SCHOOL,701 16TH ST S,ST PETERSBURG,FL,33705,(727)893-2400,,,http://www.hopkins-ms.pinellas.k12.fl.us,,Public,PINELLAS
SKYCREST ELEMENTARY SCHOOL,10 N CORONA AVE,CLEARWATER,FL,33765,(727)469-5987,,,http://www.skycrest-es.pinellas.k12.fl.us,,Public,PINELLAS
SKYVIEW ELEMENTARY SCHOOL,8601 60TH ST N,PINELLAS PARK,FL,33782,(727)547-7857,,,http://www.skyview-es.pinellas.k12.fl.us,,Public,PINELLAS
STARKEY ELEMENTARY SCHOOL,9300 86TH AVE,SEMINOLE,FL,33777,(727)547-7841,,,http://www.starkey-es.pinellas.k12.fl.us,,Public,PINELLAS
SUNSET HILLS ELEMENTARY SCHOOL,1347 GULF RD,TARPON SPRINGS,FL,34689,(727)943-5523,,,http://www.sunsethills-es.pinellas.k12.fl.us,,Public,PINELLAS
TARPON SPRINGS ELEMENTARY SCHOOL,555 PINE ST,TARPON SPRINGS,FL,34689,(727)943-5500,,,http://www.tarpon-es.pinellas.k12.fl.us,,Public,PINELLAS
TARPON SPRINGS HIGH SCHOOL,1411 GULF RD,TARPON SPRINGS,FL,34689,(727)943-4900,,,http://www.tshs.pinellas.k12.fl.us,,Public,PINELLAS
NEW HEIGHTS ELEMENTARY SCHOOL,3901 37TH ST N,ST PETERSBURG,FL,33714,(727)893-2135,,,http://www.pcsb.org/newheights-es,,Public,PINELLAS
TYRONE MIDDLE SCHOOL,2375 66TH ST N,ST PETERSBURG,FL,33710,(727)893-1819,,,http://www.tyrone-ms.pinellas.k12.fl.us,,Public,PINELLAS
TARPON SPRINGS FUNDAMENTAL ELE,400 E HARRISON ST,TARPON SPRINGS,FL,34689,(727)943-5508,,,http://www.tarponfund-es.pinellas.k12.fl.us,,Public,PINELLAS
WALSINGHAM ELEMENTARY SCHOOL,9099 WALSINGHAM RD,LARGO,FL,33773,(727)588-3519,,,http://www.walsingham-es.pinellas.k12.fl.us,,Public,PINELLAS
WESTGATE ELEMENTARY SCHOOL,3560 58TH ST N,ST PETERSBURG,FL,33710,(727)893-2144,,,http://www.westgate-es.pinellas.k12.fl.us,,Public,PINELLAS
WOODLAWN ELEMENTARY SCHOOL,1600 16TH ST N,ST PETERSBURG,FL,33704,(727)893-1857,,,http://www.woodlawn-es.pinellas.k12.fl.us,,Public,PINELLAS
JOSEPH L. CARWISE MIDDLE SCHOOL,3301 BENTLEY DR,PALM HARBOR,FL,34684,(727)724-1442,,,http://www.carwise-ms.pinellas.k12.fl.us,,Public,PINELLAS
COUNTRYSIDE HIGH SCHOOL,3000 STATE ROAD 580,CLEARWATER,FL,33761,(727)725-7956,,,http://www.countryside-hs.pinellas.k12.fl.us/,,Public,PINELLAS
LEILA DAVIS ELEMENTARY SCHOOL,2630 LANDMARK DR,CLEARWATER,FL,33761,(727)725-7972,,,http://www.davis-es.pinellas.k12.fl.us,,Public,PINELLAS
PAUL B. STEPHENS ESE CENTER,2935 COUNTY ROAD 193,CLEARWATER,FL,33759,(727)725-7982,,,http://www.stephens.pinellas.k12.fl.us,,Public,PINELLAS
CURLEW CREEK ELEMENTARY SCHOOL,3030 CURLEW RD,PALM HARBOR,FL,34684,(727)724-1423,,,http://www.curlew-es.pinellas.k12.fl.us,,Public,PINELLAS
OSCEOLA FUNDAMENTAL HIGH,9751 98TH ST,SEMINOLE,FL,33777,(727)547-7717,,,http://www.osceola-hs.pinellas.k12.fl.us/,,Public,PINELLAS
TARPON SPRINGS MIDDLE SCHOOL,501 N FLORIDA AVE,TARPON SPRINGS,FL,34689,(727)943-5511,,,http://www.tarpon-ms.pinellas.k12.fl.us,,Public,PINELLAS
PALM HARBOR MIDDLE SCHOOL,1800 TAMPA RD,PALM HARBOR,FL,34683,(727)669-1146,,,http://www.ph-ms.pinellas.k12.fl.us/,,Public,PINELLAS
OSCEOLA MIDDLE SCHOOL,9301 98TH ST,SEMINOLE,FL,33777,(727)547-7689,,,http://www.osceola-ms.pinellas.k12.fl.us,,Public,PINELLAS
CYPRESS WOODS ELEMENTARY SCHOOL,4900 CYPRESS WOODS BLVD,PALM HARBOR,FL,34685,(727)538-7325,,,http://www.cypress-es.pinellas.k12.fl.us,,Public,PINELLAS
SUTHERLAND ELEMENTARY SCHOOL,3150 N BELCHER RD,PALM HARBOR,FL,34683,(727)724-1466,,,http://www.sutherland-es.pinellas.k12.fl.us,,Public,PINELLAS
SOUTHERN OAK ELEMENTARY SCHOOL,9101 WALSINGHAM RD,LARGO,FL,33773,(727)588-4654,,,http://www.southern-oak.pinellas.k12.fl.us/,,Public,PINELLAS
LAKE ST. GEORGE ELEMENTARY SCHOOL,2855 COUNTY ROAD 95,PALM HARBOR,FL,34684,(727)669-1161,,,http://www.pcsb.org/lakestgeorge-es,,Public,PINELLAS
DISSTON ACADEMY,5125 11TH AVE S,GULFPORT,FL,33707,(727)893-1115,,,http://www.hamilton.pinellas.k12.fl.us,,Public,PINELLAS
GARRISON-JONES ELEMENTARY SCHOOL,3133 GARRISON RD,DUNEDIN,FL,34698,(727)469-5716,,,http://www.garrison-es.pinellas.k12.fl.us,,Public,PINELLAS
CALVIN A. HUNSINGER SCHOOL,1863 N BETTY LN,CLEARWATER,FL,33755,(727)469-4260,,,http://www.hunsinger.pinellas.k12.fl.us,,Public,PINELLAS
ESE COUNTYWIDE,6698 68TH AVE N,PINELLAS PARK,FL,33781,(727)547-5900,,,,,Public,PINELLAS
HIGHLAND LAKES ELEMENTARY SCHOOL,1230 HIGHLANDS BLVD,PALM HARBOR,FL,34684,(727)724-1429,,,http://www.highland-es.pinellas.k12.fl.us,,Public,PINELLAS
SAWGRASS LAKE ELEMENTARY SCHOOL,1815 77TH AVE N,ST PETERSBURG,FL,33702,(727)570-3121,,,http://www.sawgrass-es.pinellas.k12.fl.us,,Public,PINELLAS
DROPOUT PREVENTION SCHOOL,301 4TH ST SW,LARGO,FL,33770,(727)588-6069,,,http://it.pinellas.K12.fl.us/schools/dropout-prevent/,,Public,PINELLAS
HOSPITAL/HOMEBOUND,2235 NE COACHMAN RD,CLEARWATER,FL,33765,(727)462-1515,,,http://it.pinellas.k12.fl.us/schools/homebound/,,Public,PINELLAS
FOREST LAKES ELEMENTARY SCHOOL,301 PINE AVE N,OLDSMAR,FL,34677,(813)891-0785,,,http://www.forestlks-es.pinellas.k12.fl.us,,Public,PINELLAS
FRONTIER ELEMENTARY SCHOOL,6995 HOPEDALE LN,CLEARWATER,FL,33764,(727)538-7335,,,http://www.frontier-es.pinellas.k12.fl.us,,Public,PINELLAS
PALM HARBOR UNIVERSITY HIGH,1900 OMAHA ST,PALM HARBOR,FL,34683,(727)669-1131,,,http://www.phuhs.org/,,Public,PINELLAS
CLEARWATER FUNDAMENTAL MIDDLE SCHOOL,1660 PALMETTO ST,CLEARWATER,FL,33755,(727)298-1609,,,http://www.pcsb.org/clearwaterfund-ms,,Public,PINELLAS
EAST LAKE HIGH SCHOOL,1300 SILVER EAGLE DR,TARPON SPRINGS,FL,34688,(727)942-5419,,,http://www.eastlake-hs.pinellas.k12.fl.us,,Public,PINELLAS
BROOKER CREEK ELEMENTARY SCHOOL,3130 FORELOCK RD,TARPON SPRINGS,FL,34688,(727)943-4600,,,http://www.brooker-es.pinellas.k12.fl.us,,Public,PINELLAS
JOHN M. SEXTON ELEMENTARY SCHOOL,1997 54TH AVE N,ST PETERSBURG,FL,33714,(727)570-3400,,,http://www.sexton-es.pinellas.k12.fl.us,,Public,PINELLAS
MCMULLEN-BOOTH ELEMENTARY SCHOOL,3025 UNION ST,CLEARWATER,FL,33759,(727)669-1800,,,http://www.mcmullen-es.pinellas.k12.fl.us,,Public,PINELLAS
ACADEMIE DA VINCI CHARTER SCHOOL,1060 KEENE RD,DUNEDIN,FL,34698,(727)298-2778,,,http://www.academiedavinci.org,,Public,PINELLAS
PACE CENTER FOR GIRLS,4000 GATEWAY CENTER BLVD,PINELLAS PARK,FL,33782,(727)456-1566,,,http://it.pinellas.k12.fl.us/schools/dropout-prevent/pace.html,,Public,PINELLAS
PINELLAS JUVENILE DET CENTER,301 4TH ST SW,LARGO,FL,33770,(727)588-6069,,,http://it.pinellas.k12.fl.us/schools/dropout-prevent/juveniledetention.html,,Public,PINELLAS
CHI CHI RODRIQUEZ ACADEMY,3030 N MCMULLEN BOOTH RD,CLEARWATER,FL,33761,(727)791-3522,,,,,Public,PINELLAS
PINELLAS PREPARATORY ACADEMY,2300 BELCHER RD S,LARGO,FL,33771,(727)536-3600,,,http://www.pinellasprep.org,,Public,PINELLAS
ST. PETERSBURG COLLEGIATE HIGH SCHOOL,6605 5TH AVE N,ST PETERSBURG,FL,33710,(727)341-4610,,,http://WWW.SPCHS.SPCOLLEGE.EDU,,Public,PINELLAS
BAYSIDE HIGH SCHOOL,14405 49TH ST N,CLEARWATER,FL,33762,(727)507-4730,,,http://www.bayside-hs.pinellas.k12.fl.us,,Public,PINELLAS
PLATO ACADEMY CLEARWATER,2045 PALMETTO ST,CLEARWATER,FL,33765,(727)228-9517,,,http://www.platoacademy.net,,Public,PINELLAS
DOUGLAS L. JAMERSON JR. ELEMENTARY,1200 37TH ST S,ST PETERSBURG,FL,33711,(727)552-1703,,,http://www.jamerson-es.pinellas.k12.fl.us,,Public,PINELLAS
JAMES B. SANDERLIN K-8,2350 22ND AVE S,ST PETERSBURG,FL,33712,(727)552-1700,,,http://www.sanderlinib.com/,,Public,PINELLAS
THURGOOD MARSHALL FUNDAMENTAL,3901 22ND AVE S,ST PETERSBURG,FL,33711,(727)522-1737,,,http://www.marshall-ms.pinellas.k12.fl.us,,Public,PINELLAS
PINELLAS SECONDARY SCHOOL,8570 66TH ST N,PINELLAS PARK,FL,33781,(727)549-6550,,,http://it.pinellas.k12.fl.us/schools/pinellas-sec/,,Public,PINELLAS
ATHENIAN ACADEMY,2289 N. HERCULES AVE,CLEARWATER,FL,33763,(727)298-2718,,,http://www.athenianacademy.org/,,Public,PINELLAS
ALFRED ADLER ELEMENTARY SCHOOL,4515 38TH AVE N,ST PETERSBURG,FL,33713,(727)329-9545,,,http://www.alfredadlerschool.com,,Public,PINELLAS
ENTERPRISE CHARTER HIGH SCHOOL,2495 ENTERPRISE ROAD,CLEARWATER,FL,33763,(727)474-1237,,,http://www.enterprisehs.org,,Public,PINELLAS
PINELLAS VIRTUAL INSTRUCTION PROGRAM,14405 49TH ST N,CLEARWATER,FL,33762,(727)588-6304,,,http://virtualschool.pcsb.org,,Public,PINELLAS
PINELLAS TELESCHOOL,2235 NE COACHMAN RD,CLEARWATER,FL,33765,(727)669-1220,,,http://www.pinellas.k12.fl.us/homebound2/StudentWeb/StudentWeb.htm,,Public,PINELLAS
PINELLAS COUNTY JAIL,301 4TH ST SW,LARGO,FL,33770,(727)588-6069,,,,,Public,PINELLAS
PLATO ACADEMY LARGO CHARTER SCHOOL,7100 142ND AVE N,LARGO,FL,33771,(727)228-9552,,,http://www.platoacademy.net,,Public,PINELLAS
PLATO ACADEMY PALM HARBOR CHARTER SCHOOL,1601 CURLEW RD,PALM HARBOR,FL,34683,(727)228-6850,,,http://www.platoacademy.net,,Public,PINELLAS
PINELLAS VIRTUAL K-12,14405 49TH ST N,CLEARWATER,FL,33762,(727)588-6448,,,http://virtualschool.pcsb.org,,Public,PINELLAS
PLATO SEMINOLE,10888 126TH AVE N,LARGO,FL,33778,(727)228-9950,,,http://www.platoacademy.net,,Public,PINELLAS
PINELLAS ACADEMY OF MATH AND SCIENCE,1775 S HIGHLAND AVE,LARGO,FL,33756,(727)330-9449,,,http://www.pinellasacademy.com,,Public,PINELLAS
PLATO ACADEMY CHARTER SCHOOL TARPON SPRINGS,2795 KEYSTONE RD,TARPON SPRINGS,FL,34688,(727)939-6413,,,http://www.platoacademy.net,,Public,PINELLAS
PINELLAS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGI,840 THIRD AVE S,ST PETERSBURG,FL,33701,(727)825-3710,,,http://www.mycroschool.org,,Public,PINELLAS
PLATO ACADEMY OF ST.PETERSBURG,3901 PARK ST N,ST. PETERSBURG,FL,33709,(727)521-7258,,,http://www.platoacademy.net,,Public,PINELLAS
DISCOVERY ACADEMY OF SCIENCE,1120 CURLEW RD,DUNEDIN,FL,34698,(727)369-6361,,,http://www.discoveryacademy.info,,Public,PINELLAS
PLATO ACADEMY PINELLAS PARK CHARTER SCHOOL,9200 49TH ST,PINELLAS PARK,FL,33782,(727)521-7260,,,http://www.platoacademy.net,,Public,PINELLAS
GULF BEACHES ELEMENTARY MAGNET SCHOOL,8600 BOCA CIEGA DR,ST. PETERSBURG,FL,33706,(727)893-2630,,,http://www.beaches-es.pinellas.k12.fl.us,,Public,PINELLAS
EAST LAKE MIDDLE SCHOOL ACADEMY OF ENGINEERING,1200 SILVER EAGLE DR,TARPON SPRINGS,FL,34688,(727)942-5419,,,http://www.pcsb.org/eastlake-ms,,Public,PINELLAS
PINELLAS GULF COAST ACADEMY,2235 NE COACHMAN RD,CLEARWATER,FL,33765,(727)474-8836,,,http://www.pcsb.org/gulfcoast-hs,,Public,PINELLAS
KINGS HIGHWAY ELEMENTARY MAGNET SCHOOL,1715 KINGS HIGHWAY,CLEARWATER,FL,33755,(727)223-8949,,,http://www.kings-es.pinellas.k12.fl.us/,,Public,PINELLAS
PINELLAS VIRTUAL FRANCHISE,14405 49TH ST N,CLEARWATER,FL,33762,(727)588-6448,,,http://virtualschool.pcsb.org,,Public,PINELLAS
MIDTOWN ACADEMY,1701 10TH ST S,ST PETERSBURG,FL,33705,(727)893-1358,,,http://www.pcsb.org/midtown,,Public,PINELLAS
ELISA NELSON ELEMENTARY,415 15TH ST,PALM HARBOR,FL,34683,(727)588-5187,,,http://www.pcsb.org/nelson-es,,Public,PINELLAS
STRIVE ACADEMY,301 4TH ST SW,LARGO,FL,33770,(727)588-6000,,,,,Public,PINELLAS
ST. PETERSBURG COLLEGIATE HIGH SCHOOL  NORTH PINELLAS,600 KLOSTERMAN RD,TARPON SPRINGS,FL,34689,(727)341-3521,,,http://spchs.spcollege.edu,,Public,PINELLAS
ST. PETERSBURG COLLEGIATE STEM HIGH SCHOOL,P.O.BOX 13489,ST. PETERBURG,FL,33701,(727)302-6883,,,http://spchs.spcollege.edu,,Public,PINELLAS
LOUGHMAN OAKS ELEMENTARY SCHOOL,4600 US HWY 17- 92 N,DAVENPORT,FL,33837,(863)421-3309,,,http://schools.polk-fl.net/loughmanoaks,,Public,POLK
LAKELAND SENIOR HIGH SCHOOL,726 HOLLINGSWORTH RD,LAKELAND,FL,33801,(863)499-2900,,,http://www.lakelandhighschool.com/,,Public,POLK
SOUTHWEST MIDDLE SCHOOL,2815 EDEN PKWY,LAKELAND,FL,33803,(863)499-2840,,,http://schools.polk-fl.net/swms,,Public,POLK
CARLTON PALMORE ELEMENTARY SCHOOL,3725 CLEVELND HTS BLVD,LAKELAND,FL,33803,(863)648-3510,,,http://schools.polk-fl.net/carltonpalmore,,Public,POLK
CLEVELAND COURT ELEMENTARY SCHOOL,328 EDGEWOOD DR E,LAKELAND,FL,33803,(863)499-2929,,,http://schools.polk-fl.net/clevelandcourt,,Public,POLK
COMBEE ACADEMY OF DESIGN AND ENGINEERING,2805 MORGAN COMBEE RD,LAKELAND,FL,33801,(863)499-2960,,,http://schools.polk-fl.net/CombeeEl,,Public,POLK
CRYSTAL LAKE ELEMENTARY SCHOOL,700 GALVIN DR,LAKELAND,FL,33801,(863)499-2966,,,http://schools.polk-fl.net/crystallakeelementary,,Public,POLK
DIXIELAND ELEMENTARY SCHOOL,416 ARIANA ST,LAKELAND,FL,33803,(863)499-2930,,,http://schools.polk-fl.net/dixieland,,Public,POLK
PHILIP O'BRIEN ELEMENTARY SCHOOL,1225 LIME ST E,LAKELAND,FL,33801,(863)499-2950,,,http://schools.polk-fl.net/philipobrien,,Public,POLK
MEDULLA ELEMENTARY SCHOOL,850 SCHOOLHOUSE RD,LAKELAND,FL,33813,(863)648-3515,,,http://schools.polk-fl.net/medulla,,Public,POLK
NORTH LAKELAND ELEMENTARY SCHOOL OF CHOICE,410 ROBSON ST W,LAKELAND,FL,33805,(863)499-2850,,,http://schools.polk-fl.net/nle,,Public,POLK
SOUTHWEST ELEMENTARY SCHOOL,2650 SOUTHWEST AVE,LAKELAND,FL,33803,(863)499-2830,,,http://schools.polk-fl.net/swe,,Public,POLK
LINCOLN AVENUE ACADEMY,1330 LINCOLN AVE N,LAKELAND,FL,33805,(863)499-2955,,,http://schools.polk-fl.net/laa,,Public,POLK
ROCHELLE SCHOOL OF THE ARTS,1501 MARTIN L KING JR AVE,LAKELAND,FL,33805,(863)499-2810,,,http://schools.polk-fl.net/rochellearts,,Public,POLK
SHELLEY S. BOONE MIDDLE SCHOOL,225 22ND ST S,HAINES CITY,FL,33844,(863)421-3302,,,http://schools.polk-fl.net/boonemiddle,,Public,POLK
ALTA VISTA ELEMENTARY SCHOOL,801 SCENIC HWY S,HAINES CITY,FL,33844,(863)421-3235,,,http://schools.polk-fl.net/altavista,,Public,POLK
EASTSIDE ELEMENTARY SCHOOL,1820 JOHNSON AVE E,HAINES CITY,FL,33844,(863)421-3254,,,http://schools.polk-fl.net/ee,,Public,POLK
BETHUNE ACADEMY,900 AVENUE F,HAINES CITY,FL,33844,(863)421-3334,,,http://schools.polk-fl.net/bethune,,Public,POLK
DAVENPORT SCHOOL OF THE ARTS,4751 COUNTY ROAD 547 N,DAVENPORT,FL,33837,(863)420-2557,,,http://www.davenportschoolofthearts.com,,Public,POLK
WINTER HAVEN SENIOR HIGH SCHOOL,600 6TH ST SE,WINTER HAVEN,FL,33880,(863)291-5330,,,http://schools.polk-fl.net/whhs,,Public,POLK
DENISON MIDDLE SCHOOL,400 AVENUE A SE,WINTER HAVEN,FL,33880,(863)291-5353,,,http://schools.polk-fl.net/denisonmiddle,,Public,POLK
FRANK E. BRIGHAM ACADEMY,601 AVENUE C SE,WINTER HAVEN,FL,33880,(863)291-5300,,,http://schools.polk-fl.net/BrighamAcademy,,Public,POLK
WESTWOOD MIDDLE SCHOOL,3520 AVENUE J NW,WINTER HAVEN,FL,33881,(863)965-5484,,,http://schools.polk-fl.net/westwood,,Public,POLK
ELBERT ELEMENTARY SCHOOL,205 15TH ST NE,WINTER HAVEN,FL,33881,(863)291-5364,,,http://schools.polk-fl.net/ElbertElementary,,Public,POLK
FRED G. GARNER ACADEMY,2500 HAVENDALE BLVD NW,WINTER HAVEN,FL,33881,(863)965-5455,,,http://schools.polk-fl.net/garner,,Public,POLK
INWOOD ELEMENTARY SCHOOL,2200 AVENUE G NW,WINTER HAVEN,FL,33880,(863)291-5369,,,http://schools.polk-fl.net/Inwood,,Public,POLK
LAKE SHIPP ELEMENTARY SCHOOL,250 CAMELLIA DR,WINTER HAVEN,FL,33880,(863)291-5384,,,http://schools.polk-fl.net/lakeshippelementary,,Public,POLK
JOHN SNIVELY ELEMENTARY,848 SNIVELY AVE,ELOISE,FL,33880,(863)291-5325,,,http://schools.polk-fl.net/snively,,Public,POLK
LAKE ALFRED ELEMENTARY SCHOOL,550 CUMMINGS ST E,LAKE ALFRED,FL,33850,(863)295-5985,,,http://schools.polk-fl.net/lae,,Public,POLK
KAREN M. SIEGEL ACADEMY,935 EVENHOUSE RD,LAKE ALFRED,FL,33850,(863)965-5566,,,http://schools.polk-fl.net/kmsa,,Public,POLK
WAHNETA ELEMENTARY SCHOOL,205 4TH ST E,WINTER HAVEN,FL,33880,(863)291-5392,,,http://schools.polk-fl.net/wahnetael,,Public,POLK
JEWETT MIDDLE ACADEMY MAGNET,601 MARTIN LUTHER KING JR BLVD NE,WINTER HAVEN,FL,33881,(863)291-5320,,,http://jewettacademymagnet.com,,Public,POLK
JEWETT SCHOOL OF THE ARTS,2250 8TH ST NE,WINTER HAVEN,FL,33881,(863)291-5373,,,http://schools.polk-fl.net/JewettSchoolOfTheArts,,Public,POLK
FORT MEADE MIDDLE/SENIOR HIGH SCHOOL,700 EDGEWOOD DR N,FORT MEADE,FL,33841,(863)285-1180,,,http://schools.polk-fl.net/fmmshs,,Public,POLK
AUBURNDALE SENIOR HIGH SCHOOL,1 BLOODHOUND TRL,AUBURNDALE,FL,33823,(863)965-6200,,,http://www.auburndalehighschool.com/,,Public,POLK
LENA VISTA ELEMENTARY SCHOOL,925 BERKLEY RD,AUBURNDALE,FL,33823,(863)965-5464,,,http://schools.polk-fl.net/lenavista,,Public,POLK
AUBURNDALE CENTRAL ELEMENTARY SCHOOL,320 LEMON ST,AUBURNDALE,FL,33823,(863)965-5450,,,http://schools.polk-fl.net/ACE/,,Public,POLK
WALTER CALDWELL ELEMENTARY SCHOOL,141 DAIRY RD,AUBURNDALE,FL,33823,(863)965-5470,,,http://schools.polk-fl.net/caldwell,,Public,POLK
POLK CITY ELEMENTARY SCHOOL,125 BOUGAINVILLEA AVE S,POLK CITY,FL,33868,(863)965-6338,,,http://schools.polk-fl.net/polkcity,,Public,POLK
BARTOW SENIOR HIGH SCHOOL,1270 BROADWAY AVE S,BARTOW,FL,33830,(863)534-7400,,,http://www.bartowhighschool.com/,,Public,POLK
BARTOW MIDDLE SCHOOL,550 CLOWER ST E,BARTOW,FL,33830,(863)534-7415,,,http://schools.polk-fl.net/BMS,,Public,POLK
BARTOW ELEMENTARY ACADEMY,590 WILSON AVE S,BARTOW,FL,33830,(863)534-7410,,,http://www.bartowacademy.com/,,Public,POLK
FLORAL AVENUE ELEMENTARY SCHOOL,1530 FLORAL AVE S,BARTOW,FL,33830,(863)534-7420,,,http://schools.polk-fl.net/floral,,Public,POLK
JEAN O'DELL LEARNING CENTER,1310 FLORAL AVE S,BARTOW,FL,33830,(863)534-7440,,,http://schools.polk-fl.net/pllc,,Public,POLK
ALTURAS ELEMENTARY SCHOOL,420 4TH ST,ALTURAS,FL,33820,(863)519-3917,,,http://schools.polk-fl.net/AlturasElementary,,Public,POLK
HIGHLAND CITY ELEMENTARY SCHOOL,5355 9TH STREET SE,HIGHLAND CITY,FL,33846,(863)648-3540,,,http://schools.polk-fl.net/highland_city,,Public,POLK
MULBERRY SENIOR HIGH SCHOOL,4TH CIRCLE NE,MULBERRY,FL,33860,(863)701-1104,,,http://mhs.polk-fl.net,,Public,POLK
PURCELL ELEMENTARY SCHOOL,305 1ST AVE NE,MULBERRY,FL,33860,(863)701-1061,,,http://www.polk-fl.net/purcell,,Public,POLK
MULBERRY MIDDLE SCHOOL,500 DR MLK JR AVE SE,MULBERRY,FL,33860,(863)701-1066,,,http://schools.polk-fl.net/mms,,Public,POLK
KATHLEEN SENIOR HIGH SCHOOL,1100 RED DEVIL WAY,LAKELAND,FL,33815,(863)499-2655,,,http://schools.polk-fl.net/khs,,Public,POLK
KATHLEEN MIDDLE SCHOOL,3627 KATHLEEN PNES,LAKELAND,FL,33810,(863)853-6040,,,http://schools.polk-fl.net/kathleenmiddle,,Public,POLK
KATHLEEN ELEMENTARY SCHOOL,3515 SHERETZ RD,LAKELAND,FL,33810,(863)853-6030,,,http://schools.polk-fl.net/kathleenel,,Public,POLK
GRIFFIN ELEMENTARY SCHOOL,3315 KATHLEEN RD,LAKELAND,FL,33810,(863)853-6020,,,http://schools.polk-fl.net/Griffin,,Public,POLK
JESSE KEEN ELEMENTARY SCHOOL,815 PLATEAU AVE,LAKELAND,FL,33815,(863)499-2880,,,http://schools.polk-fl.net/jessekeenelementary,,Public,POLK
WINSTON ACADEMY OF ENGINEERING,3415 SWINDELL RD,LAKELAND,FL,33810,(863)499-2890,,,http://schools.polk-fl.net/winston,,Public,POLK
MCLAUGHLIN ACADEMY OF EXCELLENCE,800 4TH ST S,LAKE WALES,FL,33853,(863)678-4233,,,http://mclaughlin@polk-fl.net,,Public,POLK
POLK AVENUE ELEMENTARY SCHOOL,110 POLK AVE E,LAKE WALES,FL,33853,(863)678-4244,,,http://lwcharterschools.com/polkave,,Public,POLK
HILLCREST ELEMENTARY SCHOOL,1051 STATE ROAD 60 E,LAKE WALES,FL,33853,(863)678-4216,,,http://lwcharterschools.com/hillcrest,,Public,POLK
SPOOK HILL ELEMENTARY SCHOOL,321 DR JA WILTSHIRE AVE E,LAKE WALES,FL,33853,(863)678-4262,,,http://schools.polk-fl.net/spookhill,,Public,POLK
ROOSEVELT ACADEMY,115 E ST,LAKE WALES,FL,33853,(863)678-4252,,,http://schools.polk-fl.net/rooseveltacademy,,Public,POLK
JANIE HOWARD WILSON SCHOOL,306 FLORIDA AVE,LAKE WALES,FL,33853,(863)678-4211,,,http://lwcharterschools.com/janiehoward,,Public,POLK
DALE R FAIR BABSON PARK ELEMENTARY,815 SCENIC HWY N,BABSON PARK,FL,33827,(863)678-4664,,,http://lwcharterschools.com/babsonpark,,Public,POLK
EDGAR L. PADGETT ELEMENTARY,110 LEELON RD,LAKELAND,FL,33809,(863)853-6044,,,http://www.polk-fl.net/Padgett,,Public,POLK
GAUSE ACADEMY OF LEADERSHIP,1395 POLK ST W,BARTOW,FL,33830,(863)534-7425,,,http://schools.polk-fl.net/gause,,Public,POLK
CRYSTAL LAKE MIDDLE SCHOOL,2410 CRYSTAL LAKE DR N,LAKELAND,FL,33801,(863)499-2970,,,http://www.polk-fl.net/clms,,Public,POLK
OSCAR J. POPE ELEMENTARY SCHOOL,2730 MAINE AVE,LAKELAND,FL,33801,(863)499-2992,,,http://schools.polk-fl.net/ojp,,Public,POLK
MCKEEL ACADEMY OF TECHNOLOGY,1810 PARKER ST W,LAKELAND,FL,33815,(863)499-2818,,,http://www.mckeelacademy.com/,,Public,POLK
SCOTT LAKE ELEMENTARY SCHOOL,1140 COUNTY ROAD 540A E,LAKELAND,FL,33813,(863)648-3520,,,http://schools.polk-fl.net/scottlake,,Public,POLK
EAGLE LAKE ELEMENTARY SCHOOL,400 CRYSTAL BEACH RD,EAGLE LAKE,FL,33839,(863)291-5357,,,http://schools.polk-fl.net/EagleLake,,Public,POLK
GARDEN GROVE ELEMENTARY SCHOOL,4599 CYPRESS GARDENS RD,WINTER HAVEN,FL,33884,(863)291-5396,,,http://www.polk-fl.net/gardengrove,,Public,POLK
LAKE WALES SENIOR HIGH SCHOOL,1 HIGHLANDER WAY,LAKE WALES,FL,33853,(863)678-4222,,,http://lwcharterschools.com/lwhigh,,Public,POLK
JAMES E. STEPHENS ACADEMY,1350 MAPLE AVE N,BARTOW,FL,33830,(863)534-7455,,,http://schools.polk-fl.net/stephens,,Public,POLK
LAKE GIBSON MIDDLE SCHOOL,6901 SOCRUM LOOP RD N,LAKELAND,FL,33809,(863)853-6151,,,http://www.lakegibsonmiddle.com/,,Public,POLK
LAKELAND HIGHLANDS MIDDLE SCHOOL,740 LAKE MIRIAM DR,LAKELAND,FL,33813,(863)648-3500,,,http://schools.polk-fl.net/LHMS,,Public,POLK
DUNDEE ELEMENTARY ACADEMY,215 FREDERICK AVE,DUNDEE,FL,33838,(863)421-3316,,,http://schools.polk-fl.net/DundeeElementary,,Public,POLK
HAINES CITY SENIOR HIGH SCHOOL,2800 HORNET DR,HAINES CITY,FL,33844,(863)421-3281,,,http://www.hainescityhighschool.com/,,Public,POLK
FROSTPROOF MIDDLE/SENIOR HIGH,1000  PALM AVE N,FROSTPROOF,FL,33843,(863)635-7809,,,http://schools.polk-fl.net/fmshs,,Public,POLK
FROSTPROOF BEN HILL GRIFFIN JR ELEMENTARY SCHOOL,501 MCLEOD RD,FROSTPROOF,FL,33843,(863)635-7820,,,http://schools.polk-fl.net/BHGJrBulldogs,,Public,POLK
